"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/sÂ²) Run #1"
0,000;0,43;;
0,050;0,46;0,68;
0,100;0,50;0,65;-0,79
0,150;0,53;0,60;-1,10
0,200;0,56;0,54;-1,37
0,250;0,58;0,46;-1,63
0,300;0,61;0,37;-1,86
0,350;0,62;0,27;-2,05
0,400;0,63;0,17;-2,17
0,450;0,64;0,06;-2,24
0,500;0,64;-0,06;-2,24
0,550;0,63;-0,17;-2,17
0,600;0,62;-0,28;-2,04
0,650;0,60;-0,38;-1,84
0,700;0,58;-0,46;-1,59
0,750;0,56;-0,54;-1,27
0,800;0,53;-0,59;-0,90
0,850;0,50;-0,63;-0,49
0,900;0,47;-0,64;-0,05
0,950;0,43;-0,63;0,39
1,000;0,40;-0,60;0,79
1,050;0,37;-0,55;1,14
1,100;0,35;-0,49;1,44
1,150;0,32;-0,41;1,74
1,200;0,31;-0,31;2,07
1,250;0,29;-0,20;2,38
1,300;0,28;-0,07;2,50
1,350;0,28;0,06;2,42
1,400;0,29;0,17;2,23
1,450;0,30;0,28;2,05
1,500;0,32;0,38;1,85
1,550;0,34;0,47;1,57
1,600;0,37;0,54;1,22
1,650;0,39;0,59;0,85
1,700;0,43;0,63;0,47
1,750;0,46;0,64;0,05
1,800;0,49;0,63;-0,39
1,850;0,52;0,60;-0,82
1,900;0,55;0,55;-1,20
1,950;0,58;0,48;-1,52
2,000;0,60;0,40;-1,79
2,050;0,62;0,30;-1,99
2,100;0,63;0,19;-2,13
2,150;0,64;0,08;-2,22
2,200;0,64;-0,03;-2,23
2,250;0,63;-0,14;-2,18
2,300;0,62;-0,25;-2,07
2,350;0,61;-0,35;-1,89
2,400;0,59;-0,44;-1,65
2,450;0,56;-0,52;-1,35
2,500;0,54;-0,58;-1,01
2,550;0,51;-0,62;-0,61
2,600;0,47;-0,64;-0,16
2,650;0,44;-0,64;0,30
2,700;0,41;-0,61;0,71
2,750;0,38;-0,56;1,04
2,800;0,35;-0,50;1,36
2,850;0,33;-0,43;1,71
2,900;0,31;-0,33;2,04
2,950;0,29;-0,22;2,26
3,000;0,29;-0,10;2,34
3,050;0,28;0,02;2,37
3,100;0,29;0,13;2,35
3,150;0,30;0,26;2,25
3,200;0,31;0,36;2,00
3,250;0,33;0,46;1,62
3,300;0,36;0,53;1,21
3,350;0,39;0,58;0,84
3,400;0,42;0,61;0,53
3,450;0,45;0,63;0,19
3,500;0,48;0,64;-0,24
3,550;0,51;0,61;-0,69
3,600;0,54;0,56;-1,11
3,650;0,57;0,50;-1,44
3,700;0,59;0,42;-1,71
3,750;0,61;0,32;-1,94
3,800;0,63;0,22;-2,11
3,850;0,64;0,11;-2,20
3,900;0,64;0,00;-2,23
3,950;0,64;-0,11;-2,20
4,000;0,63;-0,22;-2,10
4,050;0,61;-0,33;-1,93
4,100;0,59;-0,42;-1,70
4,150;0,57;-0,50;-1,42
4,200;0,54;-0,56;-1,09
4,250;0,51;-0,61;-0,69
4,300;0,48;-0,64;-0,23
4,350;0,45;-0,63;0,20
4,400;0,42;-0,61;0,57
4,450;0,39;-0,57;0,88
4,500;0,36;-0,52;1,25
4,550;0,33;-0,45;1,66
4,600;0,31;-0,35;2,01
4,650;0,30;-0,24;2,23
4,700;0,29;-0,13;2,31
4,750;0,29;-0,01;2,35
4,800;0,29;0,11;2,34
4,850;0,30;0,23;2,20
4,900;0,31;0,33;1,97
4,950;0,33;0,42;1,67
5,000;0,35;0,50;1,37
5,050;0,38;0,56;1,04
5,100;0,41;0,60;0,68
5,150;0,44;0,63;0,28
5,200;0,47;0,64;-0,17
5,250;0,51;0,61;-0,61
5,300;0,54;0,57;-1,01
5,350;0,56;0,51;-1,36
5,400;0,59;0,43;-1,65
5,450;0,61;0,34;-1,88
5,500;0,62;0,24;-2,06
5,550;0,63;0,14;-2,18
5,600;0,64;0,02;-2,22
5,650;0,64;-0,09;-2,20
5,700;0,63;-0,20;-2,11
5,750;0,62;-0,30;-1,96
5,800;0,60;-0,39;-1,76
5,850;0,58;-0,48;-1,50
5,900;0,55;-0,55;-1,17
5,950;0,52;-0,60;-0,79
6,000;0,49;-0,63;-0,36
6,050;0,46;-0,63;0,08
6,100;0,42;-0,62;0,49
6,150;0,39;-0,58;0,87
6,200;0,37;-0,53;1,20
6,250;0,34;-0,46;1,53
6,300;0,32;-0,38;1,87
6,350;0,30;-0,27;2,15
6,400;0,29;-0,16;2,30
6,450;0,29;-0,04;2,34
6,500;0,29;0,08;2,35
6,550;0,29;0,19;2,30
6,600;0,31;0,31;2,10
6,650;0,33;0,41;1,76
6,700;0,35;0,49;1,36
6,750;0,38;0,55;1,02
6,800;0,40;0,59;0,72
6,850;0,43;0,62;0,39
6,900;0,47;0,63;-0,02
6,950;0,50;0,62;-0,48
7,000;0,53;0,58;-0,91
7,050;0,56;0,53;-1,27
7,100;0,58;0,45;-1,58
7,150;0,60;0,37;-1,82
7,200;0,62;0,27;-2,01
7,250;0,63;0,16;-2,14
7,300;0,64;0,05;-2,20
7,350;0,64;-0,06;-2,19
7,400;0,63;-0,17;-2,13
7,450;0,62;-0,27;-2,00
7,500;0,60;-0,37;-1,81
7,550;0,58;-0,46;-1,55
7,600;0,56;-0,53;-1,24
7,650;0,53;-0,58;-0,88
7,700;0,50;-0,62;-0,47
7,750;0,46;-0,63;-0,03
7,800;0,43;-0,62;0,39
7,850;0,40;-0,59;0,78
7,900;0,37;-0,54;1,12
7,950;0,35;-0,48;1,42
8,000;0,32;-0,40;1,72
8,050;0,31;-0,31;2,05
8,100;0,29;-0,20;2,35
8,150;0,29;-0,07;2,47
8,200;0,29;0,06;2,38
8,250;0,29;0,18;2,18
8,300;0,30;0,28;2,00
8,350;0,32;0,38;1,80
8,400;0,34;0,46;1,53
8,450;0,37;0,53;1,18
8,500;0,40;0,58;0,83
8,550;0,43;0,61;0,47
8,600;0,46;0,63;0,05
8,650;0,49;0,62;-0,39
8,700;0,52;0,59;-0,81
8,750;0,55;0,54;-1,18
8,800;0,58;0,47;-1,49
8,850;0,60;0,39;-1,75
8,900;0,61;0,29;-1,96
8,950;0,63;0,19;-2,11
9,000;0,63;0,08;-2,19
9,050;0,64;-0,03;-2,20
9,100;0,63;-0,14;-2,14
9,150;0,62;-0,25;-2,03
9,200;0,61;-0,35;-1,85
9,250;0,59;-0,44;-1,61
9,300;0,56;-0,51;-1,31
9,350;0,53;-0,57;-0,97
9,400;0,50;-0,61;-0,58
9,450;0,47;-0,63;-0,14
9,500;0,44;-0,62;0,30
9,550;0,41;-0,60;0,71
9,600;0,38;-0,55;1,06
9,650;0,35;-0,49;1,39
9,700;0,33;-0,41;1,69
9,750;0,31;-0,32;1,95
9,800;0,30;-0,22;2,13
9,850;0,29;-0,10;2,26
9,900;0,29;0,01;2,36
9,950;0,29;0,13;2,35
10,000;0,30;0,25;2,25
10,050;0,32;0,36;1,97
10,100;0,34;0,46;1,55
10,150;0,36;0,52;1,11
10,200;0,39;0,56;0,78
10,250;0,42;0,59;0,53
10,300;0,45;0,62;0,21
10,350;0,48;0,62;-0,22
10,400;0,51;0,60;-0,69
10,450;0,54;0,55;-1,09
10,500;0,57;0,49;-1,42
10,550;0,59;0,41;-1,70
10,600;0,61;0,31;-1,92
10,650;0,62;0,21;-2,07
10,700;0,63;0,10;-2,16
10,750;0,63;-0,01;
10,800;0,63;-0,12;
10,850;0,62;;
